# Constructed from biom file
#OTU ID	PC-AY	PC-DH	PC-DS	PC-JL	PC-MJ	PC-TC	S1-DS	S1-TC	S3-AY	S3-JL	S3-MJ	S4-DH
252b590690cf155945965e26ce2cf238	5554.0	10933.0	10440.0	9685.0	6825.0	7939.0	0.0	0.0	4.0	0.0	0.0	0.0
ddd79a8b3daf58f308224e49b11b2a24	3695.0	13005.0	1993.0	11412.0	8191.0	9677.0	0.0	0.0	0.0	0.0	0.0	0.0
837c5cd50874a2752e2d226aceeb8569	4297.0	24204.0	101.0	779.0	7929.0	9091.0	0.0	7.0	0.0	0.0	0.0	0.0
8f7cf2b544dd56e6701816c0fbfb390c	3689.0	21784.0	114.0	575.0	7430.0	7570.0	0.0	0.0	0.0	0.0	0.0	0.0
6657085581ac33603afe488606067eea	0.0	0.0	0.0	0.0	30.0	0.0	7634.0	4544.0	7896.0	5141.0	10017.0	2539.0
595a1ab1fbf6fb7a154b169604e0e280	2388.0	10088.0	1389.0	7734.0	6385.0	8186.0	0.0	0.0	0.0	0.0	0.0	0.0
edf6d3ac3b36f816ec7b40a5564e1ebf	0.0	0.0	0.0	0.0	79.0	0.0	19702.0	10249.0	274.0	214.0	441.0	2455.0
8e2da535041fca7c61c1636ca42da156	2835.0	7807.0	5860.0	5240.0	4911.0	6202.0	0.0	0.0	0.0	0.0	0.0	0.0
960a80faf46138a55a8550a33cd18499	0.0	0.0	0.0	0.0	58.0	0.0	12686.0	9975.0	2121.0	1892.0	3604.0	2216.0
ac76d102caf414f3e8dff1da3b840171	2370.0	16583.0	76.0	461.0	5764.0	6805.0	0.0	4.0	0.0	0.0	0.0	0.0
b86d25ea165e072752106e218adeffc8	1944.0	6668.0	1324.0	9407.0	4808.0	6178.0	0.0	0.0	0.0	0.0	0.0	0.0
0aa25fe9997f07a932484c3b5a10a0b2	2262.0	8290.0	484.0	4807.0	4843.0	6049.0	0.0	0.0	5.0	0.0	0.0	0.0
f6b3e02ddb51771a55387ebe7c0b7f5d	1693.0	14115.0	49.0	261.0	5032.0	5215.0	0.0	0.0	0.0	0.0	0.0	0.0
ce3ab90dada5391ca3cb9dd6b1401dd5	0.0	0.0	0.0	0.0	0.0	0.0	5375.0	3123.0	4864.0	3113.0	7183.0	2011.0
930227652a7112b1e8e0d1d2eb10eba7	1303.0	5288.0	1098.0	7427.0	4127.0	5661.0	0.0	0.0	0.0	0.0	0.0	0.0
b899e2ff8ff4cd80c0bd71d67f85e166	0.0	0.0	0.0	0.0	58.0	0.0	15132.0	7180.0	183.0	106.0	288.0	1580.0
d25b9a97403dea7dd5b828c764461776	0.0	0.0	0.0	0.0	40.0	0.0	7973.0	6852.0	2753.0	1507.0	1952.0	3403.0
9eec757b839600ae29e99f0f5013ad90	0.0	0.0	0.0	0.0	67.0	0.0	8933.0	7295.0	1322.0	1170.0	2701.0	1431.0
ab157c1ea1fae284fa924f8fe9e91323	0.0	0.0	0.0	0.0	20.0	0.0	5859.0	3846.0	4822.0	2078.0	3727.0	2278.0
56d63aa9bec966aad13a035a21e3b7ec	0.0	0.0	0.0	0.0	77.0	0.0	10359.0	7753.0	766.0	747.0	1264.0	1550.0
a75fc9cd810e4a5d34d90e53e6f81f1c	0.0	0.0	0.0	0.0	13.0	0.0	4131.0	1656.0	4326.0	1886.0	7598.0	2884.0
7492da7cff797c27188928e249d40076	1805.0	8663.0	166.0	444.0	4762.0	5506.0	2.0	2.0	0.0	0.0	0.0	0.0
e83c2018e5ac6c0f01b6c3086b7bbbd8	1577.0	8594.0	147.0	334.0	4824.0	5257.0	0.0	0.0	0.0	0.0	0.0	0.0
4d22ad9c0335801c997a0271e328fc12	0.0	0.0	0.0	0.0	0.0	0.0	9117.0	8235.0	0.0	0.0	0.0	973.0
e127b1a3b3a29436b9196bbcae09634c	0.0	0.0	0.0	0.0	21.0	0.0	5618.0	4600.0	1809.0	859.0	1500.0	2392.0
0552a1c04219f6f10d90f864770000d6	1005.0	3131.0	356.0	6168.0	2555.0	3330.0	0.0	0.0	0.0	0.0	0.0	0.0
b55cc19d9e50de5ada6128d604771abe	989.0	5319.0	247.0	2501.0	3311.0	4035.0	0.0	0.0	0.0	0.0	0.0	0.0
